jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,ssdistnr,ssmagnr,ssnamenr,obj_id
2460154.8425926,1,2400342591915,17.795000076293945,/ztf/archive/sci/2023/0729/342581/ztf_20230729342581_000287_zg_c05_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2400,19,287,24.614599227905273,0.00011202700261492282,0.06508900225162506,-0.02650889940559864,0.0003605830133892596,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF23aaqujvz
2460155.8737384,2,2401373733015,19.26059913635254,/ztf/archive/sci/2023/0730/373738/ztf_20230730373738_000288_zr_c08_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2401,30,288,26.105199813842773,4.219789843773469e-06,0.03311210125684738,0.11568000167608261,8.891809557098895e-06,t17_f5_c3,2.401373733015015e+18,t,23.0,1792.7099609375,2627.4599609375,313.197999,-25.890937,18.616199493408203,0.12894299626350403,3.178270101547241,18.445600509643555,0.19110000133514404,1.7406699657440186,19.62299919128418,0.08299999684095383,3.5759999752044678,0.3330000042915344,-0.727865993976593,-0.1705929934978485,2.950000047683716,0.9829999804496765,453.0369873046875,0.8149620294570923,0.818880021572113,1.0490000247955322,0.8410000205039978,0.3555929958820343,0.285084992647171,1.2473200559616089,1.0,0.0,0.692857027053833,1.0,18.46489906311035,0.24940000474452972,313.1984323,-25.8906409,13.5906,,,,ZTF23aaqujvz
2460155.9185069,1,2401418503015,19.54640007019043,/ztf/archive/sci/2023/0730/418322/ztf_20230730418322_000288_zg_c08_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2401,30,288,25.968799591064453,7.234779786813306e-06,0.039387401193380356,-0.036141201853752136,1.7939699318958446e-05,t17_f5_c3,2.401418503015015e+18,t,12.0,1755.699951171875,2624.360107421875,313.1980904,-25.8908878,18.800800323486328,0.11304900050163269,1.9125499725341797,18.846099853515625,0.1949000060558319,1.582800030708313,20.930999755859375,0.1420000046491623,2.4509999752044678,0.2800000011920929,1.1721299886703491,0.0453060008585453,3.1700000762939453,0.9810000061988831,456.1400146484375,0.7002570033073425,0.8344820141792297,0.7450000047683716,0.7059999704360962,0.23501600325107574,0.22271299362182617,1.0552400350570679,2.0,0.0,0.892857015132904,1.0,18.856800079345703,0.25200000405311584,313.1976018,-25.8909524,14.9443,,,,ZTF23aaqujvz
2460159.8351736,1,2405335171915,18.808399200439453,/ztf/archive/sci/2023/0803/335174/ztf_20230803335174_000287_zg_c05_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2405,19,287,26.158100128173828,1.5166699995461386e-05,0.041877999901771545,-0.03371579945087433,4.2966199544025585e-05,t17_f5_c3,2.405335171915015e+18,t,14.0,978.3369750976562,2618.47998046875,313.1981347,-25.8909247,18.816099166870117,0.21978600323200226,1.554229974746704,18.595800399780273,0.28200000524520874,1.283810019493103,21.100000381469727,0.10300000011920929,0.9980000257492065,0.10700000077486038,0.004883999936282635,-0.220333993434906,3.490000009536743,0.9760000109672546,462.01800537109375,0.21260400116443634,0.8102099895477295,0.9710000157356262,0.7910000085830688,0.2782230079174042,0.2266480028629303,1.227560043334961,1.0,0.0,0.6028569936752319,1.0,19.059799194335938,0.555400013923645,313.1977432,-25.8908456,7.90586,,,,ZTF23aaqujvz
2460159.8455208,1,2405345523015,18.71980094909668,/ztf/archive/sci/2023/0803/345498/ztf_20230803345498_000288_zg_c08_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2405,30,288,26.172500610351562,1.9128799976897426e-05,0.04095429927110672,-0.05066379904747009,5.8603200159268454e-05,t17_f5_c3,2.405345523015015e+18,t,16.0,1771.6099853515625,2630.14990234375,313.1980655,-25.8907304,18.839500427246094,0.226623997092247,1.3355799913406372,18.665700912475586,0.29350000619888306,1.5310499668121338,19.917999267578125,0.06199999898672104,2.421999931335449,0.1899999976158142,-0.7885419726371765,-0.17383700609207153,3.7899999618530273,0.9549999833106995,450.3529968261719,0.05412999913096428,0.8303099870681763,1.2929999828338623,0.9440000057220459,0.34116101264953613,0.24907700717449188,1.3696999549865723,4.0,0.0,0.45714300870895386,1.0,18.423500061035156,0.30149999260902405,313.1985122,-25.8905759,7.09812,,,,ZTF23aaqujvz
2460159.876875,2,2405376873015,19.04170036315918,/ztf/archive/sci/2023/0803/376875/ztf_20230803376875_000288_zr_c08_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2405,30,288,26.198999404907227,5.291689831210533e-06,0.03671570122241974,0.10740400105714798,1.1054599781346042e-05,t17_f5_c3,2.405376873015015e+18,t,23.0,1770.1300048828125,2630.85009765625,313.198062,-25.8909339,18.812999725341797,0.16190700232982635,1.1744799613952637,18.976299285888672,0.36410000920295715,1.5713200569152832,19.62299919128418,0.08299999684095383,3.5759999752044678,0.3330000042915344,0.04031199961900711,0.16328300535678864,2.549999952316284,0.9819999933242798,449.65399169921875,0.06542199850082397,0.986506998538971,0.7580000162124634,0.6349999904632568,0.2972550094127655,0.24901999533176422,1.1936999559402466,4.0,0.0,0.8657140135765076,0.9929410219192505,18.523700714111328,0.30820000171661377,313.1984323,-25.8906409,10.5801,,,,ZTF23aaqujvz
2460159.8773495,2,2405377341915,18.94610023498535,/ztf/archive/sci/2023/0803/377338/ztf_20230803377338_000287_zr_c05_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2405,19,287,26.19890022277832,6.111719812906813e-06,0.038503099232912064,0.10784699767827988,1.2652199984586332e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF23aaqujvz
2460161.8554167,2,2407355413015,19.770999908447266,/ztf/archive/sci/2023/0805/355417/ztf_20230805355417_000288_zr_c08_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2407,30,288,26.198999404907227,3.091869984928053e-06,0.028474900871515274,0.11117099970579147,6.488599865406286e-06,t17_f5_c3,2.407355413015015e+18,t,13.0,1733.1500244140625,2664.780029296875,313.1980248,-25.8909224,18.985000610351562,0.11465200036764145,1.241960048675537,19.16069984436035,0.23999999463558197,1.6493300199508667,19.62299919128418,0.08299999684095383,3.5759999752044678,0.3330000042915344,0.32350701093673706,0.17565199732780457,1.850000023841858,0.984000027179718,415.7179870605469,0.6102790236473083,1.265589952468872,0.6769999861717224,0.6140000224113464,0.3659459948539734,0.3318920135498047,1.1026099920272827,1.0,0.0,0.9285709857940674,1.0,19.019899368286133,0.2702000141143799,313.1984323,-25.8906409,14.91,,,,ZTF23aaqujvz
2460161.8558912,2,2407355891915,19.7189998626709,/ztf/archive/sci/2023/0805/355891/ztf_20230805355891_000287_zr_c05_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2407,19,287,26.208099365234375,2.3925199457153212e-06,0.02481679990887642,0.10334999859333038,4.9870400289364625e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF23aaqujvz
2460161.8774306,1,2407377431915,19.42460060119629,/ztf/archive/sci/2023/0805/377407/ztf_20230805377407_000287_zg_c05_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2407,19,287,26.114099502563477,7.709320016147103e-06,0.038005199283361435,-0.021644800901412964,2.0060599126736633e-05,t17_f5_c3,2.407377431915015e+18,t,11.0,985.6900024414062,2644.27001953125,313.1980476,-25.8908628,19.11910057067871,0.19086800515651703,1.4169199466705322,19.52429962158203,0.4090999960899353,0.9759100079536438,21.100000381469727,0.10300000011920929,0.9980000257492065,0.10700000077486038,0.2857840061187744,0.4052329957485199,2.0899999141693115,0.9810000061988831,436.22698974609375,-0.09973999857902527,1.2496000528335571,0.6309999823570251,0.5450000166893005,0.3019140064716339,0.26076599955558777,1.1577999591827393,7.0,0.0,0.8257139921188354,0.8873059749603271,19.714599609375,0.6255000233650208,313.1977432,-25.8908456,9.77418,,,,ZTF23aaqujvz
2460161.896875,1,2407396873015,19.380699157714844,/ztf/archive/sci/2023/0805/396748/ztf_20230805396748_000288_zg_c08_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2407,30,288,26.10810089111328,7.67958044889383e-06,0.037677399814128876,-0.04131950065493584,2.050100010819733e-05,t17_f5_c3,2.407396873015015e+18,t,8.0,1753.030029296875,2655.169921875,313.1980703,-25.8908755,19.140100479125977,0.16827799379825592,0.8625239729881287,19.277799606323242,0.3407000005245209,1.531999945640564,20.930999755859375,0.1420000046491623,2.4509999752044678,0.2800000011920929,-0.23624500632286072,0.13770799338817596,2.0899999141693115,0.9810000061988831,425.3269958496094,0.10290899872779846,1.2449699640274048,0.6970000267028809,0.6190000176429749,0.3334929943084717,0.29617199301719666,1.1260099411010742,6.0,0.0,0.9185709953308105,0.9135370254516602,19.027799606323242,0.3474000096321106,313.1976018,-25.8909524,10.687,,,,ZTF23aaqujvz
2460164.7928704,2,2410292871915,20.010400772094727,/ztf/archive/sci/2023/0808/292859/ztf_20230808292859_000287_zr_c05_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2410,19,287,26.127099990844727,2.0498800950008444e-06,0.02302050031721592,0.10010799765586853,4.270939825801179e-06,t17_f5_c3,2.410292871915015e+18,t,13.0,987.6209716796875,2645.39990234375,313.1980147,-25.890911,19.020099639892578,0.12050099670886993,2.089829921722412,18.992900848388672,0.1551000028848648,0.8924980163574219,20.673999786376953,0.09700000286102295,1.4249999523162842,0.12099999934434891,0.746749997138977,-0.02715899981558323,2.2799999713897705,0.9810000061988831,435.09600830078125,1.0174599885940552,1.105530023574829,0.7820000052452087,0.7450000047683716,0.3429819941520691,0.32675400376319885,1.0496599674224854,4.0,0.0,0.9185709953308105,0.9761899709701538,19.033100128173828,0.20520000159740448,313.1977372,-25.8908988,15.5359,,,,ZTF23aaqujvz
2460168.8147569,2,2414314751915,20.308000564575195,/ztf/archive/sci/2023/0812/314757/ztf_20230812314757_000287_zr_c05_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2414,19,287,26.201400756835938,2.0537399905151688e-06,0.023120900616049767,0.10410100221633911,4.264969902578741e-06,t17_f5_c3,2.414314751915015e+18,t,23.0,993.010986328125,2655.469970703125,313.1980698,-25.890905,19.09040069580078,0.09107200056314468,2.49891996383667,19.06089973449707,0.13349999487400055,1.0642800331115723,20.673999786376953,0.09700000286102295,1.4249999523162842,0.12099999934434891,0.2601509988307953,-0.02947399951517582,1.9600000381469727,0.996999979019165,425.0320129394531,1.247059941291809,1.2231199741363525,0.6919999718666077,0.628000020980835,0.3530609905719757,0.3204079866409302,1.1019099950790405,4.0,0.0,0.9314290285110474,0.9863089919090271,19.09980010986328,0.17599999904632568,313.1977372,-25.8908988,18.7587,,,,ZTF23aaqujvz
2460168.834838,2,2414334833015,20.2721004486084,/ztf/archive/sci/2023/0812/334826/ztf_20230812334826_000288_zr_c08_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2414,30,288,26.19099998474121,1.9263700323790545e-06,0.022395500913262367,0.10708899796009064,4.059369985043304e-06,t17_f5_c3,2.414334833015015e+18,t,26.0,1753.7099609375,2666.719970703125,313.1980524,-25.8908802,19.125,0.09224899858236313,2.042099952697754,19.3346004486084,0.179299995303154,1.4935100078582764,19.62299919128418,0.08299999684095383,3.5759999752044678,0.3330000042915344,-0.05300600081682205,0.20958299934864044,2.390000104904175,0.9860000014305115,413.7760009765625,0.9374880194664001,0.9997529983520508,0.7269999980926514,0.6620000004768372,0.3041839897632599,0.2769869863986969,1.0981899499893188,3.0,0.0,0.9228569865226746,1.0,19.289199829101562,0.21930000185966492,313.1984323,-25.8906409,19.276,,,,ZTF23aaqujvz
2460168.8569097,1,2414356903015,20.156200408935547,/ztf/archive/sci/2023/0812/356910/ztf_20230812356910_000288_zg_c08_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2414,30,288,26.1476993560791,4.154299858782906e-06,0.03263949975371361,-0.0694350004196167,8.99382030183915e-06,t17_f5_c3,2.414356903015015e+18,t,15.0,1761.3499755859375,2663.239990234375,313.1980659,-25.8908937,19.60070037841797,0.14934200048446655,1.2561800479888916,19.582799911499023,0.21799999475479126,1.496359944343567,20.930999755859375,0.1420000046491623,2.4509999752044678,0.2800000011920929,0.24211500585079193,-0.017942000180482864,3.109999895095825,0.9700000286102295,417.25799560546875,0.5733810067176819,0.8680580258369446,0.8050000071525574,0.7080000042915344,0.25884199142456055,0.22765299677848816,1.1370099782943726,6.0,0.0,0.8457139730453491,0.9501000046730042,19.58340072631836,0.2784000039100647,313.1976018,-25.8909524,12.4523,,,,ZTF23aaqujvz
2460168.8573843,1,2414357381915,20.104400634765625,/ztf/archive/sci/2023/0812/357373/ztf_20230812357373_000287_zg_c05_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2414,19,287,26.122800827026367,4.547729986370541e-06,0.033805299550294876,-0.04792239889502525,9.859380043053534e-06,t17_f5_c3,2.414357381915015e+18,t,19.0,988.0700073242188,2646.52001953125,313.198058,-25.8909115,19.703800201416016,0.18853799998760223,1.5722899436950684,19.484500885009766,0.20149999856948853,1.0340900421142578,21.100000381469727,0.10300000011920929,0.9980000257492065,0.10700000077486038,-0.008496999740600586,-0.21925100684165955,2.4000000953674316,0.9559999704360962,433.9830017089844,0.6198549866676331,1.1688400506973267,0.7919999957084656,0.6970000267028809,0.33000001311302185,0.29041698575019836,1.136299967765808,6.0,0.0,0.7314289808273315,0.8964300155639648,19.528499603271484,0.2676999866962433,313.1977432,-25.8908456,11.1503,,,,ZTF23aaqujvz
2460170.7952199,2,2416295211915,19.917299270629883,/ztf/archive/sci/2023/0814/295208/ztf_20230814295208_000287_zr_c05_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2416,19,287,26.15760040283203,2.4544499410694698e-06,0.025125399231910706,0.09946289658546448,5.113100087328348e-06,t17_f5_c3,2.416295211915015e+18,t,19.0,976.8090209960938,2647.429931640625,313.1980364,-25.8908676,19.068599700927734,0.11825700104236603,1.7906700372695923,18.96299934387207,0.13750000298023224,0.963795006275177,20.673999786376953,0.09700000286102295,1.4249999523162842,0.12099999934434891,0.01894799992442131,-0.10556499660015106,3.5199999809265137,0.9750000238418579,433.0690002441406,0.9543009996414185,0.8591079711914062,1.0019999742507935,0.8669999837875366,0.2846589982509613,0.24630700051784515,1.155709981918335,2.0,0.0,0.8457139730453491,1.0,18.967599868774414,0.17599999904632568,313.1977372,-25.8908988,15.4357,,,,ZTF23aaqujvz
2460170.8148148,1,2416314811915,19.99920082092285,/ztf/archive/sci/2023/0814/314815/ztf_20230814314815_000287_zg_c05_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2416,19,287,26.06399917602539,5.520680133486167e-06,0.036689698696136475,-0.04803049936890602,1.2250099644006696e-05,t17_f5_c3,2.416314811915015e+18,t,14.0,985.9340209960938,2646.6201171875,313.19801,-25.890917,19.74799919128418,0.20423999428749084,1.2010600566864014,20.06800079345703,0.36070001125335693,0.8906450271606445,21.100000381469727,0.10300000011920929,0.9980000257492065,0.10700000077486038,0.142193004488945,0.3200410008430481,5.230000019073486,0.9100000262260437,433.8760070800781,-0.06881699711084366,0.5616040229797363,0.9649999737739563,0.8309999704360962,0.18451200425624847,0.1588910073041916,1.1612499952316284,6.0,0.0,0.5814290046691895,0.957880973815918,20.063600540161133,0.4595000147819519,313.1977432,-25.8908456,9.1692,,,,ZTF23aaqujvz
2460170.8346875,1,2416334683015,20.19809913635254,/ztf/archive/sci/2023/0814/334688/ztf_20230814334688_000288_zg_c08_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2416,30,288,26.084699630737305,3.825919975497527e-06,0.03125549852848053,-0.06177540123462677,8.31637044029776e-06,t17_f5_c3,2.416334683015015e+18,t,12.0,1749.969970703125,2658.27001953125,313.1980678,-25.8908916,19.733699798583984,0.16431599855422974,1.130810022354126,19.702899932861328,0.24279999732971191,1.5225900411605835,20.930999755859375,0.1420000046491623,2.4509999752044678,0.2800000011920929,0.41245201230049133,-0.0307839997112751,2.630000114440918,0.9729999899864197,422.2309875488281,0.49516499042510986,0.992110013961792,0.7850000262260437,0.675000011920929,0.29847899079322815,0.2566539943218231,1.1629600524902344,3.0,0.0,0.8842859864234924,1.0,19.60140037536621,0.2824000120162964,313.1976018,-25.8909524,11.5248,,,,ZTF23aaqujvz
2460170.8916319,2,2416391633015,20.054100036621094,/ztf/archive/sci/2023/0814/391250/ztf_20230814391250_000288_zr_c08_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2416,30,288,26.074800491333008,2.5261299470002996e-06,0.025767600163817406,0.11050999909639359,5.322060133039486e-06,t17_f5_c3,2.416391633015015e+18,t,24.0,1733.489990234375,2643.8701171875,313.1980279,-25.8909086,18.944799423217773,0.11797799915075302,3.2139999866485596,19.385000228881836,0.22519999742507935,1.59906005859375,19.62299919128418,0.08299999684095383,3.5759999752044678,0.3330000042915344,0.5476160049438477,0.4401699900627136,2.140000104904175,0.9829999804496765,436.62701416015625,0.6691210269927979,1.1263799667358398,0.6119999885559082,0.5889999866485596,0.2859809994697571,0.27523401379585266,1.0390499830245972,4.0,0.0,0.8714290261268616,1.0,19.554000854492188,0.33570000529289246,313.1984323,-25.8906409,18.1225,,,,ZTF23aaqujvz
2460172.7511111,1,2418251111915,19.906600952148438,/ztf/archive/sci/2023/0816/251111/ztf_20230816251111_000287_zg_c05_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2418,19,287,25.991899490356445,5.486179816216463e-06,0.036090701818466187,-0.05889949947595596,1.2515300113591366e-05,t17_f5_c3,2.418251111915015e+18,t,16.0,1002.4500122070312,2632.0400390625,313.1979816,-25.8909905,19.975900650024414,0.20098499953746796,0.9668059945106506,19.887100219726562,0.329800009727478,0.9206179976463318,21.100000381469727,0.10300000011920929,0.9980000257492065,0.10700000077486038,0.46871399879455566,-0.0887880027294159,2.5799999237060547,0.75,448.4570007324219,0.01950399950146675,1.1450899839401245,0.9079999923706055,0.8320000171661377,0.35193800926208496,0.3224810063838959,1.0913499593734741,4.0,0.0,0.7242860198020935,0.9750149846076965,20.112899780273438,0.5192999839782715,313.1977432,-25.8908456,7.52665,,,,ZTF23aaqujvz
2460174.8009259,1,2420300921915,19.869300842285156,/ztf/archive/sci/2023/0818/300926/ztf_20230818300926_000287_zg_c05_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2420,19,287,26.12649917602539,6.618579845962813e-06,0.03907259926199913,-0.04175009950995445,1.541029996587895e-05,t17_f5_c3,2.420300921915015e+18,t,15.0,1000.5900268554688,2676.469970703125,313.1980554,-25.8909054,19.89550018310547,0.29795700311660767,1.3588099479675293,19.880199432373047,0.3147999942302704,1.0211999416351318,21.100000381469727,0.10300000011920929,0.9980000257492065,0.10700000077486038,-0.024776000529527664,-0.015289999544620514,4.059999942779541,0.6620000004768372,404.031005859375,-0.010854000225663185,0.783939003944397,0.9559999704360962,0.7630000114440918,0.23546800017356873,0.18793100118637085,1.2529499530792236,3.0,0.0,0.5600000023841858,1.0,20.002300262451172,0.450300008058548,313.1977432,-25.8908456,6.93902,,,,ZTF23aaqujvz
2460174.8140972,1,2420314093015,19.936399459838867,/ztf/archive/sci/2023/0818/314086/ztf_20230818314086_000288_zg_c08_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2420,30,288,26.134199142456055,5.991199941490777e-06,0.03759400174021721,-0.05148410052061081,1.3902599675930105e-05,t17_f5_c3,2.420314093015015e+18,t,14.0,1745.6099853515625,2691.699951171875,313.1980907,-25.8909799,19.67919921875,0.19221599400043488,1.2392899990081787,19.65239906311035,0.24040000140666962,1.5674599409103394,20.930999755859375,0.1420000046491623,2.4509999752044678,0.2800000011920929,-0.32967498898506165,-0.02682800032198429,3.799999952316284,0.921999990940094,388.80499267578125,0.28402799367904663,0.8391420245170593,0.8740000128746033,0.7789999842643738,0.23000000417232513,0.20499999821186066,1.1219500303268433,7.0,0.0,0.7171429991722107,0.9119369983673096,19.441099166870117,0.2529999911785126,313.1976018,-25.8909524,9.94881,,,,ZTF23aaqujvz
2460174.888044,2,2420388043015,19.684600830078125,/ztf/archive/sci/2023/0818/387951/ztf_20230818387951_000288_zr_c08_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2420,30,288,26.11840057373047,4.013199941255152e-06,0.03251500055193901,0.1130099967122078,8.404060281463899e-06,t17_f5_c3,2.420388043015015e+18,t,15.0,1763.219970703125,2671.360107421875,313.1981035,-25.8908786,19.18440055847168,0.1393750011920929,1.2430399656295776,19.385099411010742,0.25360000133514404,1.348389983177185,19.62299919128418,0.08299999684095383,3.5759999752044678,0.3330000042915344,-0.09326600283384323,0.20065300166606903,2.990000009536743,0.9779999852180481,409.1409912109375,0.2994630038738251,0.9937769770622253,0.8579999804496765,0.8230000138282776,0.2869569957256317,0.27525100111961365,1.0425299406051636,5.0,0.0,0.9114289879798889,0.9587050080299377,19.335500717163086,0.3102000057697296,313.1984323,-25.8906409,11.2802,,,,ZTF23aaqujvz
2460179.8151273,1,2425315123015,19.824100494384766,/ztf/archive/sci/2023/0823/315127/ztf_20230823315127_000288_zg_c08_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2425,30,288,26.158100128173828,8.782980330579448e-06,0.04304619878530502,-0.05903790146112442,2.143600067938678e-05,t17_f5_c3,2.425315123015015e+18,t,7.0,1947.050048828125,2673.909912109375,313.1979932,-25.8910147,20.044099807739258,0.2325199991464615,0.7627710103988647,19.662599563598633,0.2565000057220459,1.27183997631073,20.930999755859375,0.1420000046491623,2.4509999752044678,0.2800000011920929,-0.4885840117931366,-0.3815329968929291,4.46999979019165,0.5860000252723694,406.5899963378906,0.16153299808502197,0.7445840239524841,1.3550000190734863,1.1109999418258667,0.30313199758529663,0.24854600429534912,1.2196199893951416,1.0,0.0,0.30142900347709656,1.0,19.657400131225586,0.3260999917984009,313.1976018,-25.8909524,6.47686,,,,ZTF23aaqujvz
2460179.8156019,1,2425315601915,19.732099533081055,/ztf/archive/sci/2023/0823/315602/ztf_20230823315602_000287_zg_c05_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2425,19,287,26.141300201416016,1.014420013234485e-05,0.044809598475694656,-0.03393080085515976,2.4952300009317696e-05,t17_f5_c3,2.425315601915015e+18,t,7.0,1175.75,2646.889892578125,313.1979888,-25.8909401,19.919300079345703,0.23619399964809418,1.0109599828720093,19.999300003051758,0.36469998955726624,0.8544449806213379,21.100000381469727,0.10300000011920929,0.9980000257492065,0.10700000077486038,-0.22345200181007385,0.08002900332212448,3.6600000858306885,0.5929999947547913,433.614990234375,-0.2671760022640228,0.9454630017280579,1.093999981880188,0.8939999938011169,0.29890701174736023,0.2442619949579239,1.2237099409103394,2.0,0.0,0.5328570008277893,1.0,19.906299591064453,0.4284000098705292,313.1977432,-25.8908456,6.61168,,,,ZTF23aaqujvz
2460181.7518634,2,2427251861915,19.453899383544922,/ztf/archive/sci/2023/0825/251852/ztf_20230825251852_000287_zr_c05_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2427,19,287,26.186100006103516,6.037399998604087e-06,0.0395628996193409,0.1058650016784668,1.2561499715957325e-05,t17_f5_c3,2.427251861915015e+18,t,11.0,967.739990234375,2644.610107421875,313.1981734,-25.8907644,19.513099670410156,0.20168699324131012,0.7063149809837341,18.95009994506836,0.17870000004768372,1.0715800523757935,19.591999053955078,0.06199999898672104,2.510999917984009,0.27300000190734863,-0.9100260138511658,-0.5629969835281372,2.7300000190734863,0.6200000047683716,435.8890075683594,0.5038229823112488,1.2708799839019775,1.8049999475479126,1.6169999837875366,0.6611719727516174,0.592307984828949,1.1162699460983276,3.0,0.0,0.22857099771499634,1.0,18.835399627685547,0.20559999346733093,313.1984354,-25.8905766,7.47784,,,,ZTF23aaqujvz
2460181.8149653,1,2427314963015,19.80030059814453,/ztf/archive/sci/2023/0825/314965/ztf_20230825314965_000288_zg_c08_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2427,30,288,26.1427001953125,1.0002499948313925e-05,0.046044301241636276,-0.053376998752355576,2.4988099539768882e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF23aaqujvz
2460181.8365856,1,2427336581915,19.741100311279297,/ztf/archive/sci/2023/0825/336551/ztf_20230825336551_000287_zg_c05_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2427,19,287,26.107799530029297,6.962410225241911e-06,0.038697499781847,-0.03090530075132847,1.6895999578991905e-05,t17_f5_c3,2.427336581915015e+18,t,18.0,952.9970092773438,2636.360107421875,313.1979808,-25.890993,20.076799392700195,0.25088098645210266,0.7858710289001465,19.856399536132812,0.32350000739097595,0.9236509799957275,21.100000381469727,0.10300000011920929,0.9980000257492065,0.10700000077486038,0.04258099943399429,-0.22035300731658936,2.180000066757202,0.621999979019165,444.1409912109375,-0.11527600139379501,1.5594600439071655,1.1490000486373901,1.0399999618530273,0.5270640254020691,0.47706401348114014,1.1048099994659424,3.0,0.0,0.36428600549697876,1.0,20.233999252319336,0.5856000185012817,313.1977432,-25.8908456,5.98615,,,,ZTF23aaqujvz
2460183.7937153,1,2429293711915,19.218900680541992,/ztf/archive/sci/2023/0827/293553/ztf_20230827293553_000287_zg_c05_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2429,19,287,26.16390037536621,1.068599976861151e-05,0.04129359871149063,-0.034601401537656784,2.8952699722140096e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF23aaqujvz
