jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2458434.9301389,1,680430130815,20.329999923706055,/ztf/archive/sci/2018/1112/430127/ztf_20181112430127_000708_zg_c03_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,680,8,708,26.309200286865234,1.2257800335646607e-05,0.035861898213624954,-0.06120600178837776,2.141170079994481e-05,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acuscrr
2458434.9523958,2,680452390815,19.989900588989258,/ztf/archive/sci/2018/1112/452384/ztf_20181112452384_000708_zr_c03_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,680,8,708,26.2185001373291,7.259220183186699e-06,0.02857320010662079,0.09546100348234177,1.153290031652432e-05,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acuscrr
2458437.8917245,2,683391720815,20.245500564575195,/ztf/archive/sci/2018/1115/391713/ztf_20181115391713_000708_zr_c03_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,683,8,708,26.232500076293945,4.13921998188016e-06,0.02167450077831745,0.0925804004073143,6.5913900471059605e-06,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acuscrr
2458437.9694907,1,683469490815,20.621000289916992,/ztf/archive/sci/2018/1115/469491/ztf_20181115469491_000708_zg_c03_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,683,8,708,26.33489990234375,7.739859938737936e-06,0.029570600017905235,-0.06751900166273117,1.2437099940143526e-05,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acuscrr
2458440.9210069,1,686421000815,19.874900817871094,/ztf/archive/sci/2018/1118/420972/ztf_20181118420972_000708_zg_c03_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,686,8,708,25.33930015563965,1.3994799701322336e-05,0.038177698850631714,-0.08240179717540741,2.479089926055167e-05,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acuscrr
2458441.0165972,2,686516590815,20.59429931640625,/ztf/archive/sci/2018/1118/516597/ztf_20181118516597_000708_zr_c03_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,686,8,708,26.2278995513916,4.489420007303124e-06,0.02255829982459545,0.09020060300827026,7.159930191846797e-06,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acuscrr
2458443.9336458,2,689433640815,20.11750030517578,/ztf/archive/sci/2018/1121/433588/ztf_20181121433588_000708_zr_c03_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,689,8,708,26.221399307250977,5.587120085692732e-06,0.024936199188232422,0.10196299850940704,8.843099749356043e-06,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acuscrr
2458444.0282176,1,689528210815,20.87179946899414,/ztf/archive/sci/2018/1121/528183/ztf_20181121528183_000708_zg_c03_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,689,8,708,26.348899841308594,6.205259978742106e-06,0.026478299871087074,-0.09526330232620239,9.867800145002548e-06,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acuscrr
2458447.9514815,2,693451480815,19.35919952392578,/ztf/archive/sci/2018/1125/451424/ztf_20181125451424_000708_zr_c03_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,693,8,708,26.243499755859375,1.3809300071443431e-05,0.03940489888191223,0.09064020216464996,2.2017000446794555e-05,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acuscrr
2458450.9398843,1,696439880815,19.996400833129883,/ztf/archive/sci/2018/1128/439826/ztf_20181128439826_000708_zg_c03_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,696,8,708,26.376300811767578,8.665880159242079e-06,0.03052929975092411,-0.10027900338172913,1.4845500118099153e-05,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acuscrr
2458451.0408912,2,696540890815,20.099599838256836,/ztf/archive/sci/2018/1128/540880/ztf_20181128540880_000708_zr_c03_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,696,8,708,26.242399215698242,4.89348985865945e-06,0.023393699899315834,0.09686139971017838,7.749799806333613e-06,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acuscrr
2458455.9902778,2,701490270815,19.945199966430664,/ztf/archive/sci/2018/1203/490278/ztf_20181203490278_000708_zr_c03_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,701,8,708,26.029800415039062,5.646360023092711e-06,0.025249600410461426,0.09108249843120575,8.966129826148972e-06,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acuscrr
2458456.037419,2,701537410815,16.815500259399414,/ztf/archive/sci/2018/1203/537407/ztf_20181203537407_000708_zr_c03_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,701,8,708,23.198400497436523,0.0011249700328335166,0.1497569978237152,0.09430939704179764,0.0025348300114274025,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acuscrr
2458462.0173727,2,707517370815,19.905899047851562,/ztf/archive/sci/2018/1209/517350/ztf_20181209517350_000708_zr_c03_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,707,8,708,25.96430015563965,4.8815600166562945e-06,0.02345160022377968,0.08884429931640625,7.718819688307121e-06,t12_f5_c3,7.07517370815015e+17,t,5.0,308.8630065917969,495.3900146484375,123.1301429,38.4167363,19.475299835205078,0.13576500117778778,1.3431999683380127,19.287700653076172,0.21060000360012054,4.045100212097168,18.785999298095703,0.06199999898672104,5.3429999351501465,0.20900000631809235,0.8543699979782104,-0.18763099610805511,2.569999933242798,0.9710000157356262,308.8630065917969,0.6181759834289551,1.0413099527359009,0.8389999866485596,0.8370000123977661,0.32645899057388306,0.32568100094795227,1.0023900270462036,1.0,0.0,0.6966670155525208,1.0,19.034700393676758,0.21289999783039093,123.1296734,38.4156664,9.41736,ZTF18acuscrr
2458435.8739583,2,681373953615,19.592599868774414,/ztf/archive/sci/2018/1113/373947/ztf_20181113373947_001706_zr_c10_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,681,36,1706,26.215099334716797,1.4579300113837235e-05,0.040155500173568726,0.12481500208377838,2.306080023117829e-05,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acuscrr
2458436.0074074,2,681507400815,19.81049919128418,/ztf/archive/sci/2018/1113/507373/ztf_20181113507373_000708_zr_c03_o_q1_scimrefdiffimg.fits.fz,Kulkarni,3,681,8,708,26.23080062866211,8.410999726038426e-06,0.030778199434280396,0.10294300317764282,1.3317800039658323e-05,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acuscrr
2458436.8432407,2,682343243615,19.289600372314453,/ztf/archive/sci/2018/1114/343241/ztf_20181114343241_001706_zr_c10_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,682,36,1706,25.883800506591797,2.1464300516527146e-05,0.048557098954916,0.11902999877929688,3.428310083108954e-05,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acuscrr
2458437.8926389,2,683392630815,20.20560073852539,/ztf/archive/sci/2018/1115/392639/ztf_20181115392639_000708_zr_c03_o_q1_scimrefdiffimg.fits.fz,Kulkarni,3,683,8,708,26.223100662231445,4.945869932271307e-06,0.023647800087928772,0.09826940298080444,7.886969797255006e-06,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acuscrr
2458437.968588,1,683468580815,20.630300521850586,/ztf/archive/sci/2018/1115/468576/ztf_20181115468576_000708_zg_c03_o_q1_scimrefdiffimg.fits.fz,Kulkarni,3,683,8,708,26.33609962463379,7.576580173918046e-06,0.029117200523614883,-0.07204470038414001,1.2378500287013594e-05,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acuscrr
2458438.9445949,1,684444590815,20.771299362182617,/ztf/archive/sci/2018/1116/444583/ztf_20181116444583_000708_zg_c03_o_q1_scimrefdiffimg.fits.fz,Kulkarni,3,684,8,708,26.358400344848633,6.549810223077657e-06,0.02709300071001053,-0.11313000321388245,1.0416600161988754e-05,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acuscrr
2458439.010544,2,684510540815,20.625099182128906,/ztf/archive/sci/2018/1116/510509/ztf_20181116510509_000708_zr_c03_o_q1_scimrefdiffimg.fits.fz,Kulkarni,3,684,8,708,26.221200942993164,3.935139829991385e-06,0.02101459912955761,0.09595250338315964,6.264229796215659e-06,t12_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF18acuscrr
