jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2460191.9401157,1,2437440112015,19.36479949951172,/ztf/archive/sci/2023/0904/440104/ztf_20230904440104_000350_zg_c06_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2437,20,350,26.310699462890625,4.0290899050887674e-05,0.03773140162229538,-0.06723789870738983,7.92166028986685e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20actddoh
2460192.8670139,1,2438367012015,19.648700714111328,/ztf/archive/sci/2023/0905/366944/ztf_20230905366944_000350_zg_c06_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2438,20,350,26.1830997467041,2.9076099963276647e-05,0.035087499767541885,-0.03291640058159828,5.092280116514303e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20actddoh
2460192.8778009,1,2438377802015,19.70680046081543,/ztf/archive/sci/2023/0905/377789/ztf_20230905377789_000350_zg_c06_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2438,20,350,26.20400047302246,2.7849600883200765e-05,0.03445810079574585,-0.03614480048418045,4.853270002058707e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20actddoh
2460192.8821065,1,2438382102015,19.806900024414062,/ztf/archive/sci/2023/0905/382095/ztf_20230905382095_000350_zg_c06_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2438,20,350,26.207500457763672,2.523829971323721e-05,0.033074598759412766,-0.0369437001645565,4.1631399653851986e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20actddoh
2460192.9388542,2,2438438852015,20.077800750732422,/ztf/archive/sci/2023/0905/438819/ztf_20230905438819_000350_zr_c06_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2438,20,350,26.29599952697754,1.2595300177054014e-05,0.024695800617337227,0.1203949972987175,1.7737800590111874e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20actddoh
2460192.9568287,2,2438456822015,20.043100357055664,/ztf/archive/sci/2023/0905/456817/ztf_20230905456817_000350_zr_c06_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2438,20,350,26.300199508666992,1.3856800251232926e-05,0.025793399661779404,0.11607600003480911,1.9574199541239068e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20actddoh
2460192.9577662,2,2438457762015,20.16659927368164,/ztf/archive/sci/2023/0905/457766/ztf_20230905457766_000350_zr_c06_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2438,20,350,26.320199966430664,1.455470010114368e-05,0.026440700516104698,0.11144000291824341,2.0442699678824283e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20actddoh
2460192.9834838,3,2438483482015,19.821399688720703,/ztf/archive/sci/2023/0905/483472/ztf_20230905483472_000350_zi_c06_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2438,20,350,25.738399505615234,5.351279924070695e-06,0.025776099413633347,0.18569500744342804,1.8774799173115753e-05,t17_f5_c3,2.43848348201501e+18,f,0.0,830.6389770507812,1199.8699951171875,42.0684442,-10.2520769,16.839399337768555,0.047981999814510345,75.17449951171875,16.80109977722168,0.02969999983906746,0.07554599642753601,16.795000076293945,0.019999999552965164,0.8190000057220459,0.10700000077486038,0.24594199657440186,-0.03831300139427185,1.5399999618530273,0.984000027179718,830.6389770507812,3.0203099250793457,1.3961800336837769,0.5630000233650208,0.5490000247955322,0.36558398604393005,0.3564940094947815,1.0255000591278076,0.0,0.0,0.8642860054969788,1.0,16.80820083618164,0.03790000081062317,42.0684485,-10.2520561,57.7491,ZTF20actddoh
2460192.9936458,2,2438493644915,19.960800170898438,/ztf/archive/sci/2023/0905/493646/ztf_20230905493646_001342_zr_c13_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,2438,49,1342,26.15329933166504,1.5200100278889295e-05,0.029065700247883797,0.10616999864578247,2.0396300897118635e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20actddoh
2460193.8741551,1,2439374152015,19.76180076599121,/ztf/archive/sci/2023/0906/374155/ztf_20230906374155_000350_zg_c06_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2439,20,350,26.196500778198242,2.9317399821593426e-05,0.03520829975605011,-0.04558899998664856,4.955190161126666e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20actddoh
2460193.8977778,2,2439397772015,20.06719970703125,/ztf/archive/sci/2023/0906/397558/ztf_20230906397558_000350_zr_c06_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2439,20,350,26.26889991760254,1.4195000403560698e-05,0.02632869966328144,0.11889500170946121,1.9977700503659435e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20actddoh
2460193.9600347,2,2439460032015,20.215900421142578,/ztf/archive/sci/2023/0906/460012/ztf_20230906460012_000350_zr_c06_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2439,20,350,26.297100067138672,1.4933600141375791e-05,0.027156999334692955,0.12082900106906891,2.0929799575242214e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20actddoh
2460194.0095833,1,2439509582015,20.00510025024414,/ztf/archive/sci/2023/0906/509190/ztf_20230906509190_000350_zg_c06_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2439,20,350,26.31279945373535,2.268209937028587e-05,0.03232179954648018,-0.07309660315513611,3.395490057300776e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20actddoh
2460194.0100463,1,2439510044915,19.994800567626953,/ztf/archive/sci/2023/0906/510046/ztf_20230906510046_001342_zg_c13_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,2439,49,1342,26.21649932861328,2.048960050160531e-05,0.03299719840288162,-0.03516149893403053,2.9994300348334946e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20actddoh
2460194.8593171,2,2440359312015,20.108699798583984,/ztf/archive/sci/2023/0907/359317/ztf_20230907359317_000350_zr_c06_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2440,20,350,26.27560043334961,1.4735699551238213e-05,0.026613499969244003,0.11639399826526642,2.0790999769815244e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20actddoh
2460194.9348727,1,2440434872015,20.199100494384766,/ztf/archive/sci/2023/0907/434873/ztf_20230907434873_000350_zg_c06_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2440,20,350,26.304000854492188,2.7816800866276026e-05,0.03624650090932846,-0.074276402592659,4.0830698708305135e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20actddoh
2460194.9398495,1,2440439842015,20.26930046081543,/ztf/archive/sci/2023/0907/439850/ztf_20230907439850_000350_zg_c06_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2440,20,350,26.30430030822754,2.8589200155693106e-05,0.03682300075888634,-0.07711809873580933,4.243620060151443e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20actddoh
2460194.9804398,2,2440480432015,20.307300567626953,/ztf/archive/sci/2023/0907/480428/ztf_20230907480428_000350_zr_c06_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2440,20,350,26.31209945678711,1.4030500096851029e-05,0.025946399196982384,0.12088699638843536,1.984489972528536e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20actddoh
2460195.8409954,1,2441340992015,19.814800262451172,/ztf/archive/sci/2023/0908/340625/ztf_20230908340625_000350_zg_c06_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2441,20,350,25.940500259399414,3.5712298995349556e-05,0.03976140171289444,-0.051233600825071335,5.880419848836027e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20actddoh
2460195.9003125,1,2441400312015,19.919599533081055,/ztf/archive/sci/2023/0908/400312/ztf_20230908400312_000350_zg_c06_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2441,20,350,26.1299991607666,3.501199898892082e-05,0.03881990164518356,-0.06333290040493011,5.8243200328433886e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20actddoh
2460195.9096875,1,2441409682015,20.129499435424805,/ztf/archive/sci/2023/0908/409676/ztf_20230908409676_000350_zg_c06_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2441,20,350,26.161500930786133,3.171369826304726e-05,0.03844419866800308,-0.09415619820356369,4.6875400585122406e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20actddoh
2460195.9227431,3,2441422742015,19.846399307250977,/ztf/archive/sci/2023/0908/422732/ztf_20230908422732_000350_zi_c06_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2441,20,350,25.658700942993164,4.672589966503438e-06,0.024073200300335884,0.1919739991426468,1.660049929341767e-05,t17_f5_c3,2.44142274201501e+18,f,0.0,843.7999877929688,1186.9100341796875,42.0684403,-10.2520711,16.841699600219727,0.03943600133061409,30.18560028076172,16.81410026550293,0.028699999675154686,0.060524001717567444,16.795000076293945,0.019999999552965164,0.8190000057220459,0.10700000077486038,-0.0321739986538887,-0.02759299986064434,1.5299999713897705,0.984000027179718,843.7999877929688,3.032249927520752,1.4580700397491455,0.6039999723434448,0.5759999752044678,0.394771009683609,0.37647101283073425,1.048609972000122,2.0,0.0,0.8914290070533752,1.0,16.805200576782227,0.035999998450279236,42.0684485,-10.2520561,48.4635,ZTF20actddoh
2460195.9458218,2,2441445822015,20.241500854492188,/ztf/archive/sci/2023/0908/445532/ztf_20230908445532_000350_zr_c06_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2441,20,350,26.233200073242188,1.502150007581804e-05,0.026951199397444725,0.1042490005493164,2.127029983967077e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20actddoh
2460195.9698611,2,2441469864915,20.04509925842285,/ztf/archive/sci/2023/0908/469850/ztf_20230908469850_001342_zr_c13_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,2441,49,1342,26.105199813842773,1.1591199836402666e-05,0.025280199944972992,0.0938040018081665,1.5597199308103882e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20actddoh
2460195.9816898,2,2441481682015,20.225299835205078,/ztf/archive/sci/2023/0908/481690/ztf_20230908481690_000350_zr_c06_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2441,20,350,26.226200103759766,1.566259925311897e-05,0.027149399742484093,0.11755900084972382,2.20100992009975e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20actddoh
2460195.9835764,2,2441483572015,20.23390007019043,/ztf/archive/sci/2023/0908/483576/ztf_20230908483576_000350_zr_c06_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2441,20,350,26.2406005859375,1.6806599887786433e-05,0.02832059934735298,0.1111380010843277,2.3602800865774043e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20actddoh
2460196.8987037,2,2442398702015,20.35930061340332,/ztf/archive/sci/2023/0909/398692/ztf_20230909398692_000350_zr_c06_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2442,20,350,26.22209930419922,1.860090014815796e-05,0.029792800545692444,0.10692299902439117,2.628030051710084e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20actddoh
2460196.9580556,2,2442458052015,20.482900619506836,/ztf/archive/sci/2023/0909/458056/ztf_20230909458056_000350_zr_c06_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2442,20,350,26.2677001953125,1.4769299923500512e-05,0.026634400710463524,0.10251899808645248,2.0808600311283953e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20actddoh
2460196.9731134,1,2442473112015,20.33970069885254,/ztf/archive/sci/2023/0909/473102/ztf_20230909473102_000350_zg_c06_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2442,20,350,26.218399047851562,3.5384200600674376e-05,0.040898099541664124,-0.09236189723014832,5.10536010551732e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20actddoh
2460198.878206,1,2444378202015,20.32740020751953,/ztf/archive/sci/2023/0911/378206/ztf_20230911378206_000350_zg_c06_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2444,20,350,26.207700729370117,5.303959915181622e-05,0.049880798906087875,-0.11089999973773956,7.86243035690859e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20actddoh
2460198.8791667,1,2444379162015,20.256000518798828,/ztf/archive/sci/2023/0911/379155/ztf_20230911379155_000350_zg_c06_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2444,20,350,26.167299270629883,4.717909905593842e-05,0.047351300716400146,-0.09291929751634598,6.835399835836142e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20actddoh
2460198.9126736,3,2444412672015,19.821300506591797,/ztf/archive/sci/2023/0911/412662/ztf_20230911412662_000350_zi_c06_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2444,20,350,25.578699111938477,1.7725000361679122e-05,0.04636089876294136,0.19116200506687164,6.318819941952825e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20actddoh
2460198.9242361,2,2444424232015,20.515499114990234,/ztf/archive/sci/2023/0911/424236/ztf_20230911424236_000350_zr_c06_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2444,20,350,26.297800064086914,1.6821299141156487e-05,0.028359299525618553,0.09950000047683716,2.386050073255319e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20actddoh
2460198.9394444,2,2444439442015,20.453699111938477,/ztf/archive/sci/2023/0911/439433/ztf_20230911439433_000350_zr_c06_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2444,20,350,26.30590057373047,1.8243399608763866e-05,0.02958109974861145,0.0942595973610878,2.5658600861788727e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20actddoh
2460198.9770023,2,2444477002015,20.393699645996094,/ztf/archive/sci/2023/0911/476979/ztf_20230911476979_000350_zr_c06_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2444,20,350,26.29210090637207,1.660230009292718e-05,0.028102699667215347,0.10840500146150589,2.327719994354993e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20actddoh
2460198.9824074,1,2444482402015,20.46980094909668,/ztf/archive/sci/2023/0911/482396/ztf_20230911482396_000350_zg_c06_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2444,20,350,26.272600173950195,3.4028998925350606e-05,0.04025999829173088,-0.09708529710769653,4.8554200475336984e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20actddoh
2460199.9232639,2,2445423262015,16.81999969482422,/ztf/archive/sci/2023/0912/423252/ztf_20230912423252_000350_zr_c06_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2445,20,350,23.08970069885254,0.00489111989736557,0.24636200070381165,0.3257189989089966,0.009906359948217869,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20actddoh
2460199.990081,1,2445490082015,20.385900497436523,/ztf/archive/sci/2023/0912/490058/ztf_20230912490058_000350_zg_c06_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2445,20,350,26.300199508666992,4.460749914869666e-05,0.04538080096244812,-0.10937400162220001,6.51972004561685e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20actddoh
2460200.9321644,2,2446432162015,20.499000549316406,/ztf/archive/sci/2023/0913/432153/ztf_20230913432153_000350_zr_c06_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2446,20,350,26.311199188232422,2.2669000827590935e-05,0.033273499459028244,0.09320040047168732,3.214599928469397e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20actddoh
2460200.9688542,2,2446468852015,20.389400482177734,/ztf/archive/sci/2023/0913/468843/ztf_20230913468843_000350_zr_c06_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2446,20,350,26.307100296020508,2.515199957997538e-05,0.0345476008951664,0.08655239641666412,3.5291999665787444e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20actddoh
2460201.9210417,2,2447421042015,20.602699279785156,/ztf/archive/sci/2023/0914/421030/ztf_20230914421030_000350_zr_c06_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2447,20,350,26.29640007019043,2.4915399990277365e-05,0.03477939963340759,0.09591860324144363,3.493979966151528e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20actddoh
2460201.9393519,2,2447439352015,20.382099151611328,/ztf/archive/sci/2023/0914/439340/ztf_20230914439340_000350_zr_c06_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2447,20,350,26.300199508666992,2.669750028871931e-05,0.035757001489400864,0.08836039900779724,3.7274701753631234e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20actddoh
2460201.9629514,1,2447462952015,20.768999099731445,/ztf/archive/sci/2023/0914/462940/ztf_20230914462940_000350_zg_c06_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2447,20,350,26.287900924682617,9.521289757685736e-05,0.06780370324850082,-0.1831980049610138,0.000134478003019467,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20actddoh
2460201.9638889,1,2447463882015,20.857900619506836,/ztf/archive/sci/2023/0914/463889/ztf_20230914463889_000350_zg_c06_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2447,20,350,26.287700653076172,9.710060112411156e-05,0.06863740086555481,-0.17588099837303162,0.00013732000661548227,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20actddoh
2460201.9817593,1,2447481752015,20.695199966430664,/ztf/archive/sci/2023/0914/481759/ztf_20230914481759_000350_zg_c06_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2447,20,350,26.298900604248047,7.727990305284038e-05,0.06176780164241791,-0.18334700167179108,0.00010866299999179319,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20actddoh
2460202.8194792,2,2448319472015,20.0487003326416,/ztf/archive/sci/2023/0915/319387/ztf_20230915319387_000350_zr_c06_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2448,20,350,26.15679931640625,1.8075399566441774e-05,0.029564199969172478,0.1003590002655983,2.5790099243749864e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20actddoh
2460202.9192361,1,2448419232015,20.815799713134766,/ztf/archive/sci/2023/0915/419236/ztf_20230915419236_000350_zg_c06_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2448,20,350,26.27549934387207,0.00010970400035148486,0.07307259738445282,-0.18911099433898926,0.00015478499699383974,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20actddoh
2460202.9573032,3,2448457302015,19.928699493408203,/ztf/archive/sci/2023/0915/457303/ztf_20230915457303_000350_zi_c06_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2448,20,350,25.69059944152832,5.6632497944519855e-06,0.026283500716090202,0.18558000028133392,2.0319199393270537e-05,t17_f5_c3,2.44845730201501e+18,f,0.0,842.3460083007812,1192.739990234375,42.0684447,-10.2520753,16.824600219726562,0.041172001510858536,59.42580032348633,16.80900001525879,0.025100000202655792,0.06967200338840485,16.795000076293945,0.019999999552965164,0.8190000057220459,0.10700000077486038,-0.015305000357329845,-0.01561999972909689,1.8799999952316284,1.0,842.3460083007812,3.1196799278259277,1.2751699686050415,0.675000011920929,0.6610000133514404,0.3590430021286011,0.35159599781036377,1.0211800336837769,1.0,0.0,0.9042860269546509,1.0,16.790700912475586,0.031199999153614044,42.0684485,-10.2520561,80.5271,ZTF20actddoh
2460202.9783681,1,2448478362015,20.823400497436523,/ztf/archive/sci/2023/0915/478241/ztf_20230915478241_000350_zg_c06_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2448,20,350,26.282800674438477,0.0001092509992304258,0.07221829891204834,-0.1955070048570633,0.00015521500608883798,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20actddoh
2460203.8784722,1,2449378472015,20.85930061340332,/ztf/archive/sci/2023/0916/378449/ztf_20230916378449_000350_zg_c06_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2449,20,350,26.263900756835938,0.00011645899940049276,0.07503540068864822,-0.2035830020904541,0.00016748100460972637,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20actddoh
2460203.9183565,1,2449418352015,20.920499801635742,/ztf/archive/sci/2023/0916/418345/ztf_20230916418345_000350_zg_c06_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2449,20,350,26.316299438476562,0.00012629000411834568,0.07843050360679626,-0.23358100652694702,0.0001802019978640601,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20actddoh
2460203.9193056,1,2449419302015,20.87380027770996,/ztf/archive/sci/2023/0916/419294/ztf_20230916419294_000350_zg_c06_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2449,20,350,26.309900283813477,0.00012847599282395095,0.07837340235710144,-0.22975200414657593,0.0001859420008258894,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20actddoh
2460203.966331,2,2449466332015,20.84939956665039,/ztf/archive/sci/2023/0916/466319/ztf_20230916466319_000350_zr_c06_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2449,20,350,26.312299728393555,3.7205700209597126e-05,0.04211580008268356,0.08462630212306976,5.300699922372587e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20actddoh
2460203.9672685,2,2449467262015,20.806699752807617,/ztf/archive/sci/2023/0916/467268/ztf_20230916467268_000350_zr_c06_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2449,20,350,26.31529998779297,3.625329918577336e-05,0.0418597012758255,0.08401510119438171,5.1890099712181836e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20actddoh
2460203.9831597,2,2449483152015,20.645000457763672,/ztf/archive/sci/2023/0916/483148/ztf_20230916483148_000350_zr_c06_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2449,20,350,26.296199798583984,3.1039799068821594e-05,0.03893269971013069,0.0829923003911972,4.421099947649054e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20actddoh
2460204.9139005,2,2450413902015,20.773500442504883,/ztf/archive/sci/2023/0917/413900/ztf_20230917413900_000350_zr_c06_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2450,20,350,26.345699310302734,2.887519985961262e-05,0.03753159940242767,0.0809955969452858,4.075689867022447e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20actddoh
2460204.9178472,2,2450417842015,20.809200286865234,/ztf/archive/sci/2023/0917/417836/ztf_20230917417836_000350_zr_c06_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2450,20,350,26.311100006103516,2.7713100280379876e-05,0.03689809888601303,0.08973810076713562,3.924619886674918e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20actddoh
2460204.9529861,1,2450452982015,20.856300354003906,/ztf/archive/sci/2023/0917/452986/ztf_20230917452986_000350_zg_c06_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2450,20,350,26.313600540161133,0.00011599800200201571,0.07478679716587067,-0.1976809948682785,0.00016355799743905663,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20actddoh
2460205.8375579,1,2451337552015,20.691699981689453,/ztf/archive/sci/2023/0918/337558/ztf_20230918337558_000350_zg_c06_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2451,20,350,26.204099655151367,9.125049837166443e-05,0.06580150127410889,-0.18268300592899323,0.00013227900490164757,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20actddoh
2460205.8790162,2,2451379012015,20.80120086669922,/ztf/archive/sci/2023/0918/379016/ztf_20230918379016_000350_zr_c06_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2451,20,350,26.310699462890625,2.3523800336988643e-05,0.03350429981946945,0.0976317971944809,3.332980122650042e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20actddoh
2460205.9421644,1,2451442162015,20.972400665283203,/ztf/archive/sci/2023/0918/442164/ztf_20230918442164_000350_zg_c06_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2451,20,350,26.283199310302734,0.0001170129980891943,0.07451149821281433,-0.18338799476623535,0.00016442799824289978,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20actddoh
2460205.9431134,1,2451443112015,20.93560028076172,/ztf/archive/sci/2023/0918/443102/ztf_20230918443102_000350_zg_c06_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2451,20,350,26.30970001220703,0.00013513100566342473,0.07986869663000107,-0.1968899965286255,0.00019512299331836402,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20actddoh
